node1,node2
O75914,Q9NVU0
P31150,Q9Y2D1
P07225,P49768
P36542,O00273
Q9Y345,P18615
P04075,Q9NZU7
Q92854,Q14011
P05412,Q9NX08
O14497,Q8NFJ9
Q8WXX7,Q99598
Q96B02,P03973
Q96JM3,Q96MH2
Q53T94,P10301
Q9UI08,Q08AG7
Q13573,Q8WUF5
O75340,Q9UHD9
P31751,Q9Y6D9
Q96QB1,O60264
Q86UQ8,Q9Y535
Q9Y574,P50914
Q9Y6X3,Q9UL63
P63151,P52701
Q9BYG4,Q9UBI6
Q9Y6R0,Q9UK97
Q01844,Q9NW08
Q96J84,Q16548
P51813,O15392
O95429,Q08043
Q6IQ32,P30499
P54727,P19404
Q9UPT6,Q09028
P53355,P61204
P08574,Q8WVM8
O14818,Q8WW38
Q9Y333,O14662
Q99569,Q9UJV9
P16471,Q6GPH4
Q9NPY3,Q5U5X0
Q99469,Q9H5I1
O75367,Q9HB90
Q86U86,Q96DX5
P48145,Q7Z5K2
Q7Z417,P31314
Q9Y6W3,P15918
Q13595,Q9H4E5
Q13283,Q00534
Q3KNV8,P31483
Q5VVQ6,Q86Y01
P47224,P98160
Q6ZW49,P17152
Q9BYV2,O95475
P61328,P07814
P55316,Q96M61
Q00577,O75334
P32302,Q9NVX0
P05120,Q96NY7
Q9UBQ0,P15813
P01127,O60716
Q96JH7,Q8WVM7
P07814,P24278
O75147,P31321
Q6EEV6,P01023
Q92956,Q13277
Q2M1K9,P20827
Q9NY33,P49450
Q05193,P20936
Q99958,P09622
P07101,P78371
P18583,O95278
Q9Y5P8,P00533
Q02750,Q96A56
Q86XR7,Q9UQE7
Q13651,P04085
P61604,Q9Y2Y9
O14818,Q9NQC1
P60880,Q16832
Q9BT25,Q86V97
O60486,Q00536
Q13319,Q86Y82
Q99569,Q15208
Q5SW96,O95249
Q14738,O15304
Q08379,P27658
O76003,Q13563
Q9UJT2,Q8WVY7
Q8IYD8,Q13887
Q9BU64,P04150
Q06418,Q05682
P0C0L4,Q14681
Q12789,Q6ZRV2
Q9UKT5,Q86U06
Q03519,Q9H6Z4
Q9NW08,Q96QC0
Q8N729,P25787
O75969,P06396
P61254,Q8IXQ6
Q92886,P16284
P26006,Q96AH0
Q9P2W9,P25789
Q9H2X0,P98177
O75081,Q9HBI0
Q15750,Q96SN8
P49207,Q8TD08
P14770,Q01844
P20138,O60488
Q16288,Q15831
P43220,P18510
O14618,Q9BWU0
Q93052,Q8TAA9
P02766,O95400
Q9C0C7,Q09470
Q9Y210,O43815
Q15723,Q86WT1
Q92800,Q969T4
Q86SQ0,O75934
O94973,Q9H9A7
Q15653,P32239
P55789,Q96KN7
Q9NRF9,Q9UQE7
P53367,P19387
P31150,P02745
P22087,P53567
O60566,P08047
Q96RR4,O43482
P35611,P05771
P08238,Q6P2E9
P53680,Q9UER7
Q14160,Q9Y2Q5
Q9BQF6,Q969G3
Q8NHL6,P23142
Q969T9,Q9Y5K5
Q15834,Q93063
Q04756,P40937
Q96SN8,P40939
P43489,P48167
Q9UK53,O94985
Q9NPJ8,Q15596
P10145,P32971
P60520,P21980
Q96LR5,Q7Z412
O95677,Q14192
Q9UI10,Q9P086
P08571,Q7Z417
P52298,P62244
P62995,P30989
Q9H0E3,O00567
P22695,Q9Y2Y9
O15068,P23945
Q5JSH3,P60842
Q8NB46,Q99615
Q03188,Q7Z4S6
Q8NC51,Q5JVS0
Q14160,Q9Y3M2
Q15287,Q96F07
Q14011,P41227
Q14674,Q86X29
Q9GZR2,Q9UBC2
Q9UHW5,Q9UL63
O43927,Q8N5M1
P30679,Q9UKY1
P11441,Q13474
Q13428,P62508
Q9H633,O15520
P12544,Q96BR1
Q9GZQ4,Q07890
Q8N3Y1,P01023
P31629,Q9UNF0
Q14686,Q02297
Q9UGM3,Q13351
O95696,P02788
P19474,P10827
O60884,Q96B67
Q99816,Q08881
P57087,P07998
Q12947,P09622
Q16595,P15880
Q13470,O95402
Q13416,O75369
Q9BW27,P10124
Q13098,P61619
Q9BT67,P29460
Q6P1J9,O94817
P51957,Q9UBN4
Q9H467,O14654
P35052,Q6ZNE5
Q15334,Q9P2K3
P22570,Q96IT1
O43307,Q9H2G4
O15078,P55039
Q92887,Q02388
Q9NWV8,Q9NVK5
Q9UIU6,P05556
P02792,P55199
Q99700,Q15120
Q9UHF0,Q9Y2K6
P26045,P17706
Q9H269,Q7Z406
P49137,Q14566
Q8WUI4,P51790
Q14865,Q8TEB1
O60664,Q969H4
P50150,Q96QB1
P30622,Q00526
Q13287,Q9UPN3
P02760,Q9UJU6
Q9UHV8,Q9H147
P46060,Q96EP0
Q9NRG4,P17535
Q9BQA1,P04628
P20719,Q96KR1
Q9Y2W1,P51684
P02743,Q16478
Q86YV9,Q8IZD9
P22314,Q9NT62
Q9P246,Q8IWY9
O75864,P41743
Q08379,Q8WX92
P60228,P78364
P15822,P42772
Q9BXM7,Q86TM6
P43626,Q96JC9
Q8WYK2,Q9H8V3
Q9NQ29,P10827
P02747,Q12802
Q9Y345,Q9UBT6
P08253,P05108
P01042,P16035
Q9ULZ3,Q96E14
Q9UJX4,Q92574
P16591,Q8IZP0
P49682,O75695
P29597,O95475
O75940,P36897
O43542,P15018
P04070,Q9NW38
P62191,Q9NVR7
O43752,Q9NW38
Q9Y2W1,P62491
Q9UNL4,P50616
P23511,Q9P2G9
Q9GZQ4,P33993
P98082,Q53EL6
Q9BTW9,Q9BU64
Q93052,P46821
Q92574,Q15562
Q9UBP6,O43432
Q9C0C7,P30281
Q9BQQ3,Q16288
P46934,P52434
Q99570,P43686
O43379,P68032
P63151,Q15349
Q13769,Q13901
P49137,Q15428
P78356,P46379
Q02790,P42336
Q15650,O15553
Q9NQ25,Q8TF42
O60256,Q9UMZ2
O15126,Q92918
Q15633,Q6ZU15
Q9UBF1,O75717
P35611,Q5JY77
P60228,Q00534
Q71F23,Q15562
P23771,Q9BQ67
Q01844,Q9UBP0
Q9BUB5,Q29RF7
Q9NRF2,P13569
Q09019,O43683
P05362,Q9Y2V0
P49767,Q9UKT4
Q99496,Q13542
Q8NFH3,Q9H1D0
Q96CW1,P21453
Q9Y4E8,Q19AV6
Q8NBZ0,Q96RT8
O75144,P62195
O43583,P07315
P16152,P25787
P50750,Q3KNV8
Q68CZ2,Q9Y2Y0
Q9BWT7,Q9NR77
Q96II8,Q96P70
Q13387,Q13416
O75439,P23945
O14599,Q13563
Q05066,P43026
Q9BW83,Q15366
Q86YS3,P55199
Q99467,P00488
P22674,Q06546
Q9H0A8,P61163
O00241,Q12769
O75947,O75695
O00186,O75525
Q8IZJ1,Q86U42
Q14691,O00311
P08246,Q99714
Q14004,P62633
P01130,P35916
P20336,Q9UPS6
O75179,O14492
Q9HAF1,P52298
P62714,Q9NYB0
Q9UJF2,Q71SY5
O60516,P15172
Q8WUF5,P51532
P21127,P54098
Q8N5Z5,O15511
P24588,Q9UL03
Q5T2W1,Q06455
P23771,Q7Z6B0
P04626,Q5JY77
O43586,O14920
Q9BXL5,Q99471
P51948,Q9Y2X3
P16471,Q15365
P16152,Q6VAB6
Q02543,Q13163
Q8N5H7,Q71F23
Q86U06,Q7Z4S6
Q00536,Q92730
Q99967,Q96KJ9
Q00872,Q99062
P01034,O75663
O43734,Q5TD97
Q9HBI1,Q9UBY9
Q99569,Q9BXK1
Q9UKI2,Q13351
Q9BQA1,Q9BUL8
P14543,Q8WVM0
P42229,Q14011
P19022,O43390
O15360,Q9UNY4
Q9Y265,Q96BD8
Q9UQK1,P20810
P24941,P06734
P62166,P05023
P24539,P34932
Q8NHY5,Q14197
Q9P000,Q96AX1
Q16611,Q8IX90
Q7Z589,P43146
Q6ZNE5,Q9Y6J9
Q8N2W9,Q00722
Q7Z6A9,P11308
P51116,P36542
Q7L2E3,Q9HCS4
Q9Y333,Q5T5X7
P51668,Q96EP0
Q9BW83,P52815
P11802,O15344
